code,ri
A003160,4.694482759
A000890,1.483563218
A002310,1.957931034
A002210,3.215977011
A002460,2.293563218
A015890,0.849310345
A012690,5.327471264
A030210,0.711609195
A100220,1.271149425
A001820,2.833563218
A019300,2.750344828
A004770,8.875287356
A001530,0.353908046
A004560,2.079425287
A004890,0.922413793
A003280,2.092183908
A023000,-0.743207547
A006090,2.334137931
A058430,0.38908046
A008350,2.24908046
A003350,5.32183908
A024090,1.812758621
A003830,1.006206897
A163560,1.630263158
A005190,6.870574713
A005800,0.582988506
A047400,1.1756
A002170,1.628735632
A034590,0.782873563
A014990,1.752413793
A014910,2.315287356
A093240,0.124666667
A011150,4.427701149
A008600,3.184367816
A053690,-0.423717949
A110570,-3.3652
A001380,4.294597701
A014530,2.513103448
A075580,-1.91
A017900,1.491034483
A003960,0.807586207
A001470,0.23
A078000,1.295287356
A105840,-0.722307692
A006340,3.185632184
A068290,3.99862069
A018470,2.203333333
A024890,3.043563218
A134380,1.035344828
A014710,0.61
A025750,1.805287356
A008040,-0.254712644
A000650,1.728045977
A103130,-1.784545455
A000850,1.134367816
A004720,4.928850575
A003080,1.329885057
A009200,0.088850575
A058850,0.838730159
A009270,1.046781609
A006980,2.791264368
A005430,0.103678161
A002100,1.042183908
A012170,1.963678161
A001260,-1.564367816
A015260,3.307816092
A077970,-0.314252874
A123700,1.615606061
A007120,4.001494253
A033180,2.154482759
A079660,2.778505747
A014160,2.751034483
A004080,-0.496666667
A021050,3.134482759
A002600,2.421149425
A001020,1.86954023
A007110,2.450804598
A145210,-5.913333333
A000300,2.030114943
A018500,3.131724138
A008970,1.668850575
A009070,1.630804598
A077500,2.017701149
A002720,2.306206897
A008250,1.661034483
A006880,0.9064
A003610,1.196436782
A020760,2.178045977
A007190,-0.403218391
A005010,0.27
A008700,2.857126437
A002920,1.432413793
A002900,2.742873563
A017180,1.631724138
A013580,0.580574713
A129260,0.335
A005360,3.814367816
A017550,2.571149425
A012800,2.260574713
A007590,0.250689655
A012280,3.337931034
A000500,0.582413793
A017040,2.189310345
A004450,1.275977011
A009770,1.626896552
A028100,-0.437435897
A001750,-0.113103448
A081000,3.046666667
A010960,1.997241379
A000220,1.955287356
A016590,2.496436782
A084670,0.797586207
A016380,-0.728045977
A027740,2.185862069
A011690,3.216436782
A006570,0.647356322
A005960,0.37816092
A013000,3.227471264
A013870,0.141081081
A133820,-3.398235294
A011330,-0.041494253
A000590,4.967241379
A001340,-0.393218391
A083420,1.317586207
A010100,1.45045977
A118000,4.65
A023800,1.818045977
A032560,1.554597701
A025530,1.032528736
A001570,2.691264368
A071970,-2.14164557
A214330,6.68
A120030,10.94414286
A006660,0.998735632
A001080,1.446091954
A002200,1.279195402
A008260,2.059770115
A001210,0.548390805
A015230,2.844597701
A144620,-0.661136364
A014440,3.008850575
A104120,3.057011494
A011700,1.943448276
