date,code,owner,dy,p_return,bps,eps
20080930,A036530,3825,5.24,-0.26,24070.48,1944.97
20080930,A007690,0,3.64,0.8,36303.59,5027.44
20080930,A002810,0,2.74,0.12,8927.95,497.63
20080930,A112610,0,0,0,7180.07,2060.78
20080930,A138490,0,0,0,4832.52,533.61
20080930,A200880,0,0,0,0,0
20080930,A033270,0,2.46,-0.26,3586.14,590.61
20080930,A030610,0,0.6,-6.49,14176.55,450.53
20080930,A008060,178,7.31,-4.57,6575.27,-1433.44
20080930,A001510,0,0.23,-3.85,1253.65,60
20080930,A004150,6562,0,-1.43,11875.45,46.06
20080930,A004440,0,0,0,38227.91,5375.49
20080930,A003200,0,2.4,1.84,172808.21,9745.57
20080930,A005810,322,0,0,41442.06,471.44
20080930,A004700,0,0,7.08,15828.81,484.3
20080930,A002990,18773,2.71,-4.18,20122.18,594.14
20080930,A027390,0,4.74,1.12,21173.15,2070.98
20080930,A000480,0,2.34,4.89,89750.1,2378.9
20080930,A004360,0,1.44,-0.3,15642.83,2268.55
20080930,A016580,0,3.48,2.36,11350.64,1199.38
20080930,A000140,48705,1.83,0,61620.79,6659.13
20080930,A089470,0,5.17,0.94,2542.57,244.19
20080930,A095570,0,0,0,13531.33,696.78
20080930,A001460,0,0.55,0,288022.94,5955.94
20080930,A003570,15999,1.71,-1.6,15473.86,1000.17
20080930,A007160,0,0,-2.46,19079.43,4315.66
20080930,A001130,0,2.2,1.88,254159.88,-7860.83
20080930,A008730,3953,7.1,-0.9,9703.14,507.6
20080930,A003120,0,0.69,-3.38,113382.23,12843.26
20080930,A102260,0,0,-4.8,26701.39,-2715.03
20080930,A194370,0,0,0,131299.11,23262.52
20080930,A002780,0,0,-1.45,1359.69,3.61
20080930,A009680,0,3.35,2.44,6867.16,757.29
20080930,A000430,0,3.43,-0.82,4668.98,111.07
20080930,A000020,0,1.85,-1.97,36761.95,5105.09
20080930,A107590,0,0,0,0,0
20080930,A001500,114693,0,-3.77,18225.31,99.61
20080930,A183190,0,0,0,0,0
20080930,A011160,63,2.91,-5.96,11067.81,510.54
20080930,A039570,0,0,0,69436.33,18449.32
20080930,A079980,0,0,0,5868.38,-932.09
20080930,A004060,0,0,-5.86,10164.7,247.2
20080930,A012320,955,1.97,2.21,74345.09,8782.36
20080930,A002000,0,1.2,-0.37,53268.68,-1055.02
20080930,A017960,107,2.29,-1.16,5501.71,1250.78
20080930,A000970,8183,3.64,-2.61,9156.57,246.76
20080930,A004130,4435,6.06,-0.71,12002.28,-501.92
20080930,A004250,199,6.47,1,17354.15,1501.97
20080930,A010050,876,2.97,0,797.33,37.42
20080930,A002450,0,0,-1.68,1883.44,23.48
20080930,A000680,0,0,-0.66,5640.73,292.74
20080930,A005950,0,4.25,2.55,32606.19,3272.47
20080930,A000390,1491,5.14,-2.21,5649.92,474.75
20080930,A000320,0,4.09,-0.54,13365.38,94.59
20080930,A000180,0,0,0,12592.6,-4870.9
20080930,A004970,3874,1.25,-5.08,14187.29,3503.09
20080930,A009580,0,0,-1.87,11663.82,518.21
20080930,A004840,475,0.62,-0.78,4650.59,-289.31
20080930,A003530,28651,2.87,-3.94,10567.65,936.81
20080930,A161000,0,0,0,0,0
20080930,A011000,0,0,0,1242.37,-228.44
20080930,A003070,0,2.45,-1.73,12130.03,656.91
20080930,A092230,1065,4.18,1.04,72196.22,3896.38
20080930,A082740,0,0,0,8207.4,-85463.33
20080930,A085310,629,1.25,-4.03,8619.9,748.49
20080930,A000700,103231,2.76,-2.05,39189.51,2965.27
20080930,A025000,51,4.48,0,37207.81,5535.12
20080930,A000860,0,2.91,0,36023.18,1351.73
20080930,A007860,4136,7.78,-2.61,4158.94,978.85
